"[샤오미 미투 유모차를 사자는 거예요. ], 긍정 텍스트 확률 : 50.33%"
"[ ..울 베이비의 안전도 중요한지라], 긍정 텍스트 확률 : 85.85%"
"[이제 샤오미 미투 접이식 유모차까지.샤오미가 울 아기를 키우네요..큐텐 직구 좌표 먼저 남겨요.할인쿠폰 꼭 다운받아 적용하세요결제는 달러로 ㅎㅎ나름 꿀팁. ..?..? ], 긍정 텍스트 확률 : 69.10%"
"[ ..저처럼 의심 많으신 분 돈 워리.생각보다 핸들링이 좋고], 긍정 텍스트 확률 : 51.77%"
"[아이가 편해해요.여하튼 직접 돈 주고 개월 쓰고 맘에 들어 후기까지 올려요.. ], 긍정 텍스트 확률 : 67.64%"
"[ ..첫날 외출했을 때도], 긍정 텍스트 확률 : 64.42%"
"[유모차에서 낮잠 잘 자서 얼마나 다행이던지핸들링 진짜 좋아요.유모차 미는데 진짜 부드럽게 나가요. ..유모차 핑크 사고 싶었는데 ㅋㅋㅋ 아들이라 참았어요.딸이면 핑크 핑크 사세요 저는 무난하게 블루 맘에 들어요 ], 긍정 텍스트 확률 : 86.91%"
"[ 또 한 번 더 밟으면 풀려서 편해요.제가 쓰는 잉글레시나는 미는 스타일이라 신발 앞 코로 미는지라ㅋㅋㅋ], 긍정 텍스트 확률 : 76.64%"
"[ ...미끄럼 방지 발판 있어요. .아직 우리 아기는 발이 닿지 않아요.다만], 긍정 텍스트 확률 : 50.71%"
"[한 번씩 다리 부분 내려주면 의자 않아 있듯이 있네요.벨트도 생각보다 고퀄 고정시키기도 편해요.. ], 긍정 텍스트 확률 : 89.47%"
"[ ....나름 숨은 기능이라면], 긍정 텍스트 확률 : 64.66%"
"[저 빨간색.올리고 내리면 앞뒤로만 왔다 갔다 할 수 있어요..유모차 타고 자고 있을 때], 긍정 텍스트 확률 : 80.66%"
"[왔다 갔다 한 손으로 하기 좋을듯해요... ], 긍정 텍스트 확률 : 89.78%"
"[트렁크에 뒀다가 식당이나 카페 가면 써요.의자처럼 저렇게 않아있으면 자리 차지도 적은 편이고요 애도 편해하는지라], 긍정 텍스트 확률 : 59.25%"
"[ ㅠ 추가 구입했어요.이건 꼭 있어야 할듯 검색하다보니], 긍정 텍스트 확률 : 69.16%"
"[울 신랑이 제일 좋아합니다..진짜 가벼워서 트렁크 싣는게 일도 아니라며.조금 더 키워서 기내용으로 빨리 쓰고 싶네요... .?육아육아.?육아는아이템육아는아이템.?샤오미샤오미.?유모차유모차.?리뷰리뷰.. ], 긍정 텍스트 확률 : 77.30%"
"[오늘도 이유식과 함께 시작.파프리카의 껍질이 질겨서 소화가 안된대서 일일히 벗기는데], 긍정 텍스트 확률 : 70.25%"
