"[ 이제는 매트 없는 곳은 위험하네요..요리할때도... 화장실 갈때도...설치 안하려고 했지만결국 베이비룸 설치 결정], 긍정 텍스트 확률 : 65.95%"
"[ 베이비룸 문짝 개 멜로디문개 기본 개 연결 개 맘카페서 중고로 만원에 사왔어요 저는 보통 맘카페 이용 많이해요새거같은 중고가격이 아주 합리적 깨끗하게 닦고 쓰면뿌듯], 긍정 텍스트 확률 : 66.84%"
"[ 거실이 아기공간을 탈바꿈...이래서 아기 키우는 집은...아기물건으로 가득하는말 이해합니다ㅠㅠ난 안그러고 싶었는데ㅠㅠㅠ], 긍정 텍스트 확률 : 59.70%"
"[ 그래도 다행이... 기분 좋을땐 베이비룸에서 잘 놀아줍니다 울때는 안아줘야 하지만요ㅠㅠ햇님토이 베이비룸 다양하던데 가격도 이상이면 십만원대 중반 .?햇님토이베이비룸햇님토이베이비룸.?햇님토이베이비룸후기햇님토이베이비룸후기], 긍정 텍스트 확률 : 77.57%"
"[ 모유수유 슬슬 끊는중이라..졸려운 범둥이... 유모차 태우고 돌아다녀요ㅠㅠ아들... 우리 이제 그냥 자보자ㅠㅠㅠ ], 긍정 텍스트 확률 : 84.98%"
"[ 졸려운 범둥이...우리 이제 자자....햇님토이 베이비룸 괜찮네요.근데 오래쓰지는 못하겠죠? 음 개월 까지 쓰려나..?모르겠지만....ㅋㅋㅋㅋㅋ잘 써보겠습니당 언제 범둥이 방으로 갈런지....], 긍정 텍스트 확률 : 87.86%"
"[출산준비.? 일 아기엄마가 정리해 본 출산준비리스트], 긍정 텍스트 확률 : 55.88%"
"[출산준비물 상세편. 다시 돌아간다면 지출하지 않았을 항목지난 포스팅에 작성한 출산준비비용 리스트를 토대로 다시 돌아간다면 굳이 사지 않았을 품목과 다시 돌아간대도 꼭 샀을 것 같은 품목들과 함께 상세 내용을 적어보았다.다시 돌아간다면 사지 않았을 품목은 취소선을 그어 표시하고다시 돌아간대도 꼭 샀을 것 같은 품목은 밑줄을 그어 표시할 예정ㅎㅎ.병원진료비 ], 긍정 텍스트 확률 : 95.05%"
"[ .출산 전 진료비는 임신초기부터 출산직전까지 아무 이벤트가 없었고], 긍정 텍스트 확률 : 50.64%"
"[보통 임신후기에는 병원진료를 주만에 가는데 우리 담당의는 막달을 제외하고는 주만에 오라고했고], 긍정 텍스트 확률 : 68.88%"
"[ 개인지출 시부모님이 내주심 .신생아검진은 기본검사선천선대사이상검사], 긍정 텍스트 확률 : 59.20%"
"[청력검사에 윌슨검사만원과 혈액형검사천원를 추가하였고], 긍정 텍스트 확률 : 50.08%"
"[ 원시부모님이 내주심.내가 거주하는 지역의 산후조리원은 물론 저렴한 곳들은 주에 만원대도 있었지만], 긍정 텍스트 확률 : 86.71%"
"[ 원친정부모님이 내주심.요즘은 산후도우미 비용을 소득수준 관계없이 정부에서 반절정도 지원해주기도하는데], 긍정 텍스트 확률 : 51.24%"
"[내가 거주하는 지역은 소득수준에 따라 정부지원 가능여부가 갈렸는데 우리집은 정부지원대상에서 제외였다. 그래서 전액 개인부담이었는데 주를 할까하다가 매일매일 한달동안 누군가가 우리집에 와있는 것도 신경쓰일 것 같아 산후 몸회복이 어느정도 될 것 같았던 주를 고민하다 결국 출퇴근 주로. 결론은 딱 적당히 한 것 같다. 추석연휴가 껴서 휴일은 근무일수에서 빠지는 관계로 거의 아기가 일이 될 때까지 이모님이 계셨으니 아기 돌보는 것도 어느정도 익숙해져있는 상태였고 몸도 거의 회복된 상태였다. 산후도우미는 정말 어떤 분이 오시느냐에 따라 복불복이다. 나는 다행히 너무 좋은 분이 와주셨다. 음식솜씨도 좋으셨고 아기 돌보는 일도 손주처럼 잘 대해주셨고], 긍정 텍스트 확률 : 99.90%"
"[ 원친정부모님이 내주심.마사지를 정말 좋아하는 나는 임신 전에도 마사지를 주기적으로 받았는데], 긍정 텍스트 확률 : 74.99%"
"[임신 중에는 혹시나 싶은 마음에 안하는게 제일 속 편할 것 같아 거의 막달에 산후조리원에서 제공하는 산전마사지 서비스 회를 제외하고는 안받았다. 그래서 마사지가 너무 받고싶었는데 제왕절개라 산후조리원에 머무는 주 내에 실밥제거를 하고보니 남은건 주. 산후마사지가 서비스로 회 이미 있었기 때문에 회만 추가해도 충분했다. 사실 회를 산후조리원에 있는 동안 결국 못 받고 나와서 퇴소한 뒤 주 뒤쯤 예약해서 주말에 한번 따로 다녀왔다. 그 후 집에있는 동안에도 출장마사지를 받을 계획이었는데 어쩌다보니 여태 한번도 못받았다. 그냥 별로 받고싶은 생각이 안들기도하고.. 그보다는 얼른 다니던 필라테스나 좀 가고싶다. 그래도 산후조리원에서 매일 받는 마사지는 힐링이었다.단유마사지 회 ], 긍정 텍스트 확률 : 99.50%"
"[ 원.모유수유 계획이 처음부터 없던지라 초유만 먹이고 단유를 시작했는데], 긍정 텍스트 확률 : 67.20%"
"[모유량이 꽤 많아 단유가 조금 오래 걸렸다. 결국 출산 후 달정도 지나니 자연스럽게 단유가 되었는데 그래도 단유마사지로 남아있는 모유를 빼내는게 좋다그래서 출장 단유마사지를 회 받았다. 조리원에서 가슴마사지 해주시던 분한테ㅎㅎ 결론은 만족스럽다. 단유가 된 것 같아도 가끔 모유가 조금 나오기도했는데 단유마사지 받고부터는 딱 끊어졌다..산후보약 달분 ], 긍정 텍스트 확률 : 99.95%"
